Building_Age,Number_of_Floors,Total_Area,Number_of_Windows,Insulation_Type,Heating_System,Cooling_System,Energy_Consumption
27,44,54776,159,Polyurethane,Radiant,None,1678577.83
20,21,75098,409,Mineral Wool,Radiant,Central AC,3795615.31
35,40,58021,426,Fiberglass,Geothermal,Heat Pump,3844793.64
90,24,62509,483,Fiberglass,Radiant,Heat Pump,4403177.51
11,27,71643,33,Spray Foam,Forced Air,Central AC,2204699.42
63,40,39733,485,Fiberglass,Radiant,Heat Pump,1863703.34
42,50,93183,407,Polyurethane,Radiant,Window Units,1985183.53
50,31,94596,202,Polyurethane,Radiant,Heat Pump,4275385.94
29,18,14236,28,Spray Foam,Geothermal,None,695637.69
64,34,31759,79,Fiberglass,Geothermal,Window Units,1275616.76
30,50,54469,209,Spray Foam,Radiant,Central AC,731314.1
24,24,73570,262,Fiberglass,Radiant,None,2553339.72
29,28,69277,230,Spray Foam,Geothermal,Heat Pump,1497546.31
95,15,21275,133,Cellulose,Geothermal,Window Units,264123.91
83,48,46685,34,Fiberglass,Boiler,Window Units,3565006.56
100,33,49488,188,Polyurethane,Heat Pump,Central AC,3657517.48
70,27,22352,417,Polyurethane,Geothermal,Heat Pump,561346.49
68,48,22742,346,Spray Foam,Forced Air,Heat Pump,1107150.53
36,9,74681,290,Fiberglass,Geothermal,Heat Pump,4920858.22
13,42,80975,450,Spray Foam,Geothermal,None,2820864.15
71,31,15254,340,Cellulose,Geothermal,Window Units,214733.74
70,45,12688,336,Spray Foam,Forced Air,Evaporative,877944.38
1,19,18616,374,Cellulose,Radiant,Heat Pump,918934.98
38,3,6689,147,Polyurethane,Radiant,Window Units,218670.73
26,4,51369,434,Polyurethane,Boiler,Central AC,1188314.17
15,4,25350,104,Mineral Wool,Radiant,Central AC,732162.42
75,35,4641,77,Fiberglass,Heat Pump,Central AC,189437.94
13,46,37490,299,Spray Foam,Boiler,Window Units,437961.28
32,12,43421,26,Fiberglass,Boiler,Evaporative,2246418.44
66,17,49580,140,Fiberglass,Radiant,Heat Pump,3986662.03
2,30,35186,449,Mineral Wool,Boiler,None,478838.88
83,3,28229,123,Cellulose,Radiant,Evaporative,1127134.19
10,43,93016,278,Mineral Wool,Heat Pump,Central AC,1867612.81
86,43,57407,144,Fiberglass,Forced Air,None,2565125.8
49,13,97309,38,Fiberglass,Forced Air,Window Units,7062557.02
5,50,52207,262,Polyurethane,Heat Pump,Window Units,1739078.76
87,11,70742,133,Mineral Wool,Forced Air,Heat Pump,1221138.38
10,13,45126,490,Cellulose,Radiant,Central AC,1220899.76
72,21,20074,467,Cellulose,Boiler,Central AC,1384119.72
50,28,91218,307,Polyurethane,Boiler,Window Units,1753733.17
34,50,8667,238,Spray Foam,Forced Air,Heat Pump,333851.86
99,1,40692,403,Fiberglass,Boiler,Evaporative,1179770.7
2,31,31440,207,Spray Foam,Heat Pump,Heat Pump,444885.45
1,11,80666,164,Polyurethane,Forced Air,Heat Pump,3657940.79
85,23,48144,311,Mineral Wool,Geothermal,Heat Pump,578338.62
44,46,83796,297,Cellulose,Geothermal,Window Units,981023.47
33,49,69476,471,Cellulose,Heat Pump,None,3093930.21
15,4,2505,10,Cellulose,Geothermal,Central AC,40200.6
14,1,51647,271,Polyurethane,Heat Pump,Window Units,738825.85
52,42,84307,384,Cellulose,Radiant,Central AC,5331041.4
19,49,15815,347,Mineral Wool,Radiant,Heat Pump,431539.6
36,28,49870,192,Fiberglass,Radiant,Central AC,2073079.7
36,19,68521,104,Polyurethane,Boiler,Heat Pump,3499039.93
82,16,26828,15,Spray Foam,Forced Air,Central AC,1995956.42
83,42,66093,85,Spray Foam,Forced Air,Heat Pump,2640571.7
77,34,56419,62,Fiberglass,Boiler,None,645377.97
81,31,66065,25,Fiberglass,Boiler,Window Units,5271217.13
86,32,4923,265,Spray Foam,Heat Pump,Heat Pump,175316.38
70,25,49201,318,Fiberglass,Radiant,Central AC,3783097.62
21,12,61402,197,Mineral Wool,Radiant,Evaporative,1631247.48
45,42,92386,457,Spray Foam,Geothermal,None,6057508.85
59,19,56247,113,Cellulose,Geothermal,Evaporative,1517838.4
83,22,50700,50,Fiberglass,Radiant,Heat Pump,3272253.21
86,16,90616,25,Mineral Wool,Radiant,Heat Pump,2037900.35
34,32,85580,411,Polyurethane,Forced Air,Central AC,641013.09
97,43,59158,220,Fiberglass,Boiler,Heat Pump,3997817.65
80,13,35620,146,Spray Foam,Radiant,Heat Pump,1313229.58
85,3,61749,478,Mineral Wool,Forced Air,None,3244364.68
37,22,84817,197,Mineral Wool,Heat Pump,Evaporative,978166.32
34,32,78029,344,Mineral Wool,Radiant,Window Units,2580214.58
15,19,27992,408,Polyurethane,Geothermal,Heat Pump,753214.01
73,8,5560,210,Mineral Wool,Boiler,Central AC,379040.9
65,31,49462,195,Fiberglass,Boiler,Window Units,545092.0
85,13,11484,218,Polyurethane,Boiler,Central AC,1016211.36
29,45,80415,187,Mineral Wool,Boiler,Heat Pump,3526851.17
59,31,2018,270,Spray Foam,Forced Air,None,56610.81
91,2,60909,122,Polyurethane,Geothermal,None,3872730.6
58,50,19476,32,Fiberglass,Heat Pump,Central AC,1520197.12
87,29,88819,74,Polyurethane,Radiant,Heat Pump,1639175.59
61,13,85311,479,Spray Foam,Geothermal,None,4461291.3
11,7,85681,500,Polyurethane,Boiler,Central AC,3715578.02
12,48,75303,132,Cellulose,Geothermal,None,2139939.43
58,3,75030,494,Mineral Wool,Boiler,Heat Pump,5738705.88
31,48,22176,372,Cellulose,Forced Air,Window Units,181609.16
16,34,64502,321,Mineral Wool,Geothermal,Window Units,2121045.38
42,32,99226,140,Mineral Wool,Boiler,Window Units,4885081.24
84,40,27491,495,Spray Foam,Radiant,Evaporative,1367605.57
55,1,49075,29,Mineral Wool,Forced Air,Heat Pump,505066.47
43,47,59269,124,Cellulose,Forced Air,Window Units,936642.86
58,5,76391,259,Fiberglass,Boiler,None,617962.0
31,7,32008,293,Polyurethane,Forced Air,None,1714045.4
26,49,22080,331,Spray Foam,Heat Pump,Heat Pump,169699.11
15,6,50423,491,Cellulose,Heat Pump,Heat Pump,1555230.99
29,24,13238,328,Cellulose,Forced Air,Evaporative,795672.78
57,2,42645,447,Fiberglass,Radiant,Central AC,2101446.35
26,10,79886,221,Cellulose,Heat Pump,Heat Pump,4021604.12
56,2,29536,206,Spray Foam,Boiler,Evaporative,2242267.37
67,40,62980,64,Polyurethane,Radiant,Evaporative,4486828.51
73,19,41563,249,Fiberglass,Boiler,Window Units,1638929.74
39,9,25895,355,Polyurethane,Geothermal,Heat Pump,1407772.61
24,32,26569,244,Mineral Wool,Boiler,Central AC,1277728.74
75,36,36898,194,Cellulose,Boiler,Evaporative,1931225.45
49,35,4780,176,Fiberglass,Geothermal,Heat Pump,221384.38
40,30,52082,465,Cellulose,Forced Air,Central AC,2314047.35
3,36,22781,354,Polyurethane,Geothermal,Central AC,374305.86
36,31,71585,469,Polyurethane,Forced Air,None,544256.6
62,5,64421,138,Spray Foam,Radiant,Heat Pump,1998655.54
86,44,75646,327,Spray Foam,Radiant,Evaporative,3769772.13
76,10,18850,427,Fiberglass,Radiant,None,296672.72
50,46,22304,407,Cellulose,Boiler,Evaporative,1547967.27
47,10,45700,438,Polyurethane,Geothermal,Window Units,1221498.95
56,12,29418,45,Polyurethane,Radiant,Window Units,1817843.75
12,22,86331,75,Spray Foam,Heat Pump,Evaporative,2044174.56
55,45,80656,408,Spray Foam,Heat Pump,None,5834731.39
77,13,55161,343,Mineral Wool,Heat Pump,Window Units,1142865.61
21,25,82854,410,Mineral Wool,Boiler,Heat Pump,640651.58
33,37,17934,167,Polyurethane,Geothermal,Evaporative,914628.43
57,42,10619,337,Fiberglass,Boiler,None,749572.27
77,28,31884,160,Polyurethane,Heat Pump,Central AC,1456654.91
39,26,29285,279,Spray Foam,Heat Pump,None,1306596.71
32,31,44317,191,Fiberglass,Forced Air,None,1566105.64
76,48,21531,408,Polyurethane,Heat Pump,Window Units,1193673.61
59,3,15478,305,Spray Foam,Geothermal,Evaporative,1196452.33
87,32,34386,58,Cellulose,Geothermal,Heat Pump,2756740.39
27,25,6233,205,Cellulose,Geothermal,Central AC,275198.88
8,13,76664,284,Cellulose,Forced Air,Central AC,2271470.22
60,3,71853,309,Polyurethane,Geothermal,Window Units,2072954.12
55,33,67213,276,Cellulose,Forced Air,Central AC,2584958.17
40,42,21837,410,Polyurethane,Radiant,Window Units,526722.04
9,37,63991,203,Spray Foam,Geothermal,None,1180003.28
94,40,8793,398,Cellulose,Forced Air,Central AC,338297.19
80,14,95053,92,Spray Foam,Radiant,Central AC,2718371.2
56,11,82663,231,Cellulose,Geothermal,Evaporative,5994436.71
88,4,3685,365,Polyurethane,Radiant,Window Units,287972.46
12,33,50335,77,Fiberglass,Boiler,None,2228414.07
87,11,10373,25,Mineral Wool,Radiant,Central AC,308231.04
55,20,99081,103,Cellulose,Heat Pump,None,6485896.71
1,20,25764,321,Fiberglass,Geothermal,Heat Pump,1103484.45
4,38,74722,97,Spray Foam,Geothermal,Evaporative,1434981.65
69,43,53437,350,Cellulose,Boiler,Window Units,2292933.28
58,18,89710,318,Spray Foam,Radiant,Heat Pump,6699420.01
1,18,38147,236,Mineral Wool,Heat Pump,Heat Pump,1127157.65
67,44,85366,349,Spray Foam,Geothermal,None,2325572.38
26,24,39163,236,Polyurethane,Radiant,Evaporative,1820915.94
83,23,18210,22,Fiberglass,Heat Pump,Evaporative,1407450.71
99,44,15913,469,Mineral Wool,Boiler,Evaporative,356744.44
70,25,16896,202,Polyurethane,Forced Air,Heat Pump,401663.15
76,36,75608,226,Spray Foam,Forced Air,Evaporative,3312145.14
78,43,41662,255,Mineral Wool,Boiler,Central AC,1074932.75
59,21,51859,36,Fiberglass,Geothermal,None,2588050.36
16,45,35197,143,Fiberglass,Boiler,Window Units,1346939.32
43,48,67600,89,Fiberglass,Boiler,None,2971901.65
37,10,39162,89,Spray Foam,Forced Air,Heat Pump,1296594.68
72,33,88029,84,Cellulose,Heat Pump,Central AC,5172614.18
13,29,47922,453,Spray Foam,Geothermal,Window Units,2295236.44
35,28,87546,94,Spray Foam,Radiant,Window Units,5066498.34
54,34,25835,148,Mineral Wool,Radiant,None,1798522.05
56,23,41140,72,Mineral Wool,Heat Pump,Heat Pump,459772.84
99,4,92409,48,Mineral Wool,Radiant,None,5063648.6
11,18,11082,348,Mineral Wool,Radiant,None,293658.23
79,12,78298,240,Mineral Wool,Heat Pump,Central AC,4722284.89
18,22,70791,196,Polyurethane,Forced Air,Evaporative,2139958.65
92,30,17032,229,Polyurethane,Forced Air,Window Units,1300038.47
18,21,92199,65,Cellulose,Geothermal,Evaporative,4385779.67
50,45,71981,46,Fiberglass,Boiler,Heat Pump,4267144.59
100,32,20453,438,Cellulose,Boiler,Window Units,1327754.42
7,26,25716,354,Fiberglass,Heat Pump,Heat Pump,698619.17
11,23,76871,345,Fiberglass,Radiant,Heat Pump,2373968.27
29,42,56081,34,Cellulose,Forced Air,Evaporative,1796385.56
87,45,53452,388,Cellulose,Boiler,Window Units,1506628.91
71,12,48684,249,Polyurethane,Radiant,Window Units,3303242.65
58,18,43781,370,Cellulose,Heat Pump,Window Units,1299649.8
93,41,43403,285,Polyurethane,Geothermal,Central AC,1020370.36
66,29,9492,386,Cellulose,Geothermal,None,455395.75
58,8,86388,165,Fiberglass,Geothermal,Central AC,3937772.34
7,40,56652,436,Cellulose,Radiant,Evaporative,1477358.88
74,4,48874,459,Mineral Wool,Radiant,None,641696.78
16,34,49253,182,Polyurethane,Boiler,Window Units,659919.26
55,28,97593,232,Cellulose,Radiant,Window Units,4116694.52
16,18,49614,291,Polyurethane,Heat Pump,Central AC,575039.41
42,45,4359,408,Spray Foam,Heat Pump,Evaporative,260099.94
93,21,81601,448,Fiberglass,Heat Pump,None,3125581.97
43,27,37890,366,Cellulose,Radiant,Evaporative,584433.99
38,26,74506,51,Fiberglass,Heat Pump,Window Units,1669375.81
64,8,85887,389,Spray Foam,Forced Air,None,4261106.62
48,44,72135,138,Mineral Wool,Boiler,Evaporative,1231613.88
40,16,28175,303,Polyurethane,Boiler,Central AC,694723.43
7,31,90569,141,Cellulose,Geothermal,Central AC,1235228.19
83,1,88026,194,Mineral Wool,Geothermal,None,3771508.12
1,13,47406,38,Cellulose,Heat Pump,None,380085.69
34,29,92051,377,Spray Foam,Geothermal,Window Units,3640193.0
33,1,26734,83,Polyurethane,Forced Air,None,1456549.45
15,11,82954,20,Spray Foam,Radiant,Window Units,1057834.39
50,21,74989,23,Mineral Wool,Radiant,Heat Pump,5384140.35
81,8,51518,126,Spray Foam,Geothermal,Central AC,2218676.15
30,33,2158,77,Polyurethane,Radiant,Evaporative,123627.02
13,39,68299,44,Cellulose,Boiler,Evaporative,2260936.79
94,29,65740,193,Fiberglass,Forced Air,Evaporative,2289415.98
74,14,5110,426,Mineral Wool,Heat Pump,Window Units,139638.33
44,40,22989,463,Mineral Wool,Radiant,Central AC,1218684.64
89,28,50889,69,Spray Foam,Forced Air,Central AC,2348354.56
53,13,83773,453,Cellulose,Heat Pump,Heat Pump,1559380.25
7,28,64345,118,Cellulose,Boiler,Window Units,939417.1
99,33,67907,108,Fiberglass,Geothermal,Central AC,2990227.61
62,9,57269,329,Cellulose,Geothermal,Evaporative,910296.48
17,26,69948,131,Fiberglass,Geothermal,Heat Pump,1654111.53
48,20,83428,91,Mineral Wool,Radiant,None,691844.71
6,45,1569,131,Polyurethane,Heat Pump,Central AC,66379.83
99,47,70356,265,Spray Foam,Heat Pump,Window Units,5278226.25
60,45,95242,456,Cellulose,Forced Air,Central AC,2420342.53
81,21,21965,323,Fiberglass,Heat Pump,Window Units,1464448.72
64,28,91030,119,Spray Foam,Heat Pump,Central AC,3820903.1
59,1,6489,380,Spray Foam,Heat Pump,Evaporative,130862.67
4,46,64125,59,Cellulose,Boiler,Window Units,2798650.48
46,40,32225,344,Cellulose,Boiler,None,918463.12
93,4,31676,171,Fiberglass,Forced Air,None,653728.41
19,20,85494,75,Cellulose,Geothermal,Heat Pump,4121007.66
89,13,38458,301,Spray Foam,Geothermal,None,1507119.38
61,11,69175,164,Mineral Wool,Radiant,None,2578163.82
10,1,75405,472,Mineral Wool,Boiler,Central AC,824050.46
31,26,68504,238,Mineral Wool,Forced Air,Window Units,3431666.62
22,16,73078,444,Fiberglass,Boiler,Heat Pump,1222778.96
4,20,84896,437,Fiberglass,Forced Air,Evaporative,3255644.01
19,6,72340,109,Spray Foam,Heat Pump,None,1898490.19
66,33,26186,355,Polyurethane,Boiler,Central AC,583507.42
12,8,11688,483,Polyurethane,Radiant,Heat Pump,512454.4
2,34,95021,197,Fiberglass,Heat Pump,None,3879367.39
36,15,62171,155,Spray Foam,Boiler,Evaporative,3041660.84
15,47,25115,167,Fiberglass,Geothermal,None,1064376.45
27,38,67623,345,Cellulose,Heat Pump,Evaporative,2752931.9
94,19,11190,219,Mineral Wool,Geothermal,Central AC,595315.59
14,50,37865,92,Spray Foam,Geothermal,Evaporative,1550365.07
62,36,89566,380,Spray Foam,Boiler,Heat Pump,5863481.68
75,43,72614,34,Fiberglass,Boiler,Central AC,2752454.34
65,15,85111,467,Mineral Wool,Radiant,Central AC,1375028.46
62,15,80971,301,Spray Foam,Forced Air,Central AC,829140.09
30,6,47059,249,Polyurethane,Heat Pump,Window Units,1061662.82
17,1,56432,205,Fiberglass,Radiant,Window Units,1939025.07
38,17,59584,282,Spray Foam,Boiler,Evaporative,2304199.41
23,35,8352,437,Fiberglass,Radiant,Heat Pump,262912.89
49,23,15567,34,Polyurethane,Heat Pump,Heat Pump,766495.48
22,50,88488,466,Mineral Wool,Radiant,Central AC,1288958.6
46,15,79915,422,Spray Foam,Geothermal,None,5222512.13
40,37,33343,120,Spray Foam,Forced Air,Heat Pump,1835306.7
13,44,56862,470,Fiberglass,Forced Air,Heat Pump,2614962.9
31,43,19248,32,Cellulose,Geothermal,Evaporative,818062.38
52,43,53974,416,Polyurethane,Forced Air,Evaporative,2491389.44
51,7,21415,482,Mineral Wool,Boiler,Window Units,298314.66
19,39,40487,497,Spray Foam,Radiant,Heat Pump,1400851.7
66,46,79592,374,Spray Foam,Boiler,Central AC,3801982.87
79,21,99072,381,Polyurethane,Forced Air,Window Units,6081485.72
75,10,59689,439,Polyurethane,Boiler,Central AC,3652059.41
40,8,27629,500,Mineral Wool,Radiant,Window Units,1146149.61
78,29,22754,283,Polyurethane,Radiant,Heat Pump,1892522.5
86,17,23163,444,Fiberglass,Heat Pump,Central AC,2085258.05
55,17,4437,74,Mineral Wool,Heat Pump,Heat Pump,36487.7
75,11,87783,236,Cellulose,Forced Air,None,3239294.29
54,17,40279,82,Polyurethane,Radiant,Central AC,885705.67
46,23,81395,107,Polyurethane,Heat Pump,Heat Pump,3666042.12
59,10,47582,174,Spray Foam,Forced Air,Central AC,2840416.56
1,42,25700,188,Fiberglass,Boiler,Central AC,1206184.44
46,21,77225,56,Fiberglass,Heat Pump,Window Units,3615044.65
89,47,64679,191,Polyurethane,Forced Air,Central AC,4275052.96
59,38,38927,153,Polyurethane,Forced Air,Heat Pump,2139046.85
84,31,85240,273,Spray Foam,Boiler,Central AC,3619583.06
8,29,26259,261,Polyurethane,Forced Air,None,989511.61
15,35,1852,38,Cellulose,Geothermal,None,79157.59
56,3,79141,262,Spray Foam,Geothermal,Evaporative,1902071.4
63,48,76926,155,Fiberglass,Heat Pump,Central AC,5434611.37
36,9,98321,274,Cellulose,Heat Pump,Evaporative,1653630.94
59,39,40122,142,Spray Foam,Geothermal,Window Units,1503713.43
3,47,83861,81,Polyurethane,Boiler,Heat Pump,4247945.2
31,26,39544,443,Spray Foam,Boiler,Central AC,1599846.14
98,46,51843,443,Polyurethane,Boiler,None,1022982.17
49,1,53201,227,Spray Foam,Radiant,Window Units,3463596.99
64,46,33408,186,Mineral Wool,Radiant,Evaporative,941488.91
32,23,86454,148,Polyurethane,Radiant,Window Units,2101336.97
93,29,25623,249,Mineral Wool,Heat Pump,Heat Pump,1177303.4
96,41,44318,67,Fiberglass,Boiler,Evaporative,3155188.51
85,18,71214,317,Polyurethane,Heat Pump,Evaporative,1231334.96
83,1,77779,218,Cellulose,Forced Air,Heat Pump,5399116.86
8,30,31928,206,Fiberglass,Heat Pump,Central AC,173114.27
70,1,85135,192,Cellulose,Heat Pump,None,4006198.4
28,13,22832,97,Cellulose,Forced Air,Evaporative,266907.54
75,27,4735,219,Mineral Wool,Heat Pump,Evaporative,342232.42
27,44,63443,129,Cellulose,Radiant,Heat Pump,2459525.19
74,39,67972,384,Polyurethane,Geothermal,Evaporative,4177078.44
72,18,84745,485,Cellulose,Forced Air,Evaporative,2272871.54
52,41,79732,345,Cellulose,Radiant,Central AC,5878589.78
47,15,69427,197,Spray Foam,Boiler,Heat Pump,4555559.78
21,3,85292,45,Spray Foam,Geothermal,None,2162427.58
22,2,35466,164,Spray Foam,Forced Air,Central AC,654029.28
19,38,43311,278,Fiberglass,Heat Pump,None,790354.04
24,22,84311,310,Spray Foam,Geothermal,Heat Pump,2049694.3
47,25,80703,64,Spray Foam,Heat Pump,Heat Pump,4721040.94
88,35,62214,330,Mineral Wool,Forced Air,Evaporative,4694621.61
32,35,66541,19,Fiberglass,Forced Air,Central AC,3925302.38
15,12,2234,152,Spray Foam,Forced Air,Heat Pump,53903.05
59,28,11356,120,Mineral Wool,Heat Pump,None,683176.57
36,36,92266,419,Spray Foam,Forced Air,Evaporative,3596452.59
29,38,77164,11,Polyurethane,Radiant,Evaporative,2243843.39
93,30,53935,437,Fiberglass,Heat Pump,Heat Pump,1543922.51
9,4,20878,108,Polyurethane,Heat Pump,Heat Pump,675916.3
12,42,13207,197,Cellulose,Heat Pump,None,354081.14
97,37,37464,458,Cellulose,Forced Air,None,891614.95
17,16,49741,355,Polyurethane,Radiant,Central AC,1599900.79
13,44,25175,416,Fiberglass,Forced Air,Central AC,982690.02
12,17,26805,45,Spray Foam,Boiler,None,1342621.04
16,12,82649,106,Mineral Wool,Boiler,Central AC,2012534.78
64,16,80100,368,Cellulose,Geothermal,Evaporative,3210373.37
37,30,32731,374,Spray Foam,Forced Air,Window Units,1125482.38
57,32,76685,20,Fiberglass,Heat Pump,None,5097264.94
93,24,75776,168,Cellulose,Forced Air,Evaporative,2651884.55
93,14,44094,62,Polyurethane,Geothermal,Window Units,3328826.58
47,48,7952,12,Polyurethane,Boiler,None,559699.8
21,1,90734,191,Mineral Wool,Forced Air,Central AC,2184895.93
59,15,87969,120,Fiberglass,Boiler,None,2924887.9
9,41,91088,34,Polyurethane,Boiler,Evaporative,2981143.69
95,14,78175,321,Spray Foam,Heat Pump,Central AC,4321496.29
70,50,7442,301,Polyurethane,Forced Air,Central AC,175835.69
69,44,12884,316,Mineral Wool,Boiler,Central AC,802745.07
90,5,58522,178,Spray Foam,Radiant,None,1241222.39
19,38,48909,491,Spray Foam,Heat Pump,Window Units,1834433.0
96,20,6295,472,Cellulose,Radiant,Window Units,595998.72
89,28,53318,188,Spray Foam,Radiant,Heat Pump,3863093.23
19,7,39704,456,Spray Foam,Boiler,Window Units,1533954.05
57,26,87612,40,Cellulose,Geothermal,Heat Pump,1259014.05
85,36,66460,86,Spray Foam,Heat Pump,Window Units,4186913.19
13,18,5947,409,Mineral Wool,Geothermal,Heat Pump,88069.63
44,23,93408,182,Fiberglass,Geothermal,None,5989010.12
27,46,68847,169,Fiberglass,Radiant,Window Units,950614.46
29,17,15732,177,Polyurethane,Radiant,Window Units,154540.72
49,46,53842,370,Polyurethane,Forced Air,Window Units,1528329.99
63,34,42607,64,Mineral Wool,Boiler,None,3466147.63
3,38,16445,453,Mineral Wool,Radiant,Heat Pump,110558.27
30,21,42538,180,Cellulose,Geothermal,Heat Pump,1479472.84
9,46,94543,351,Cellulose,Forced Air,Heat Pump,2872694.92
36,27,44055,390,Polyurethane,Boiler,Window Units,2067263.99
91,45,20037,125,Mineral Wool,Forced Air,Central AC,1674690.58
69,48,87024,384,Mineral Wool,Boiler,None,2015699.24
21,20,86624,376,Spray Foam,Boiler,Heat Pump,4337369.65
27,28,62383,152,Mineral Wool,Geothermal,None,1885002.98
61,49,13283,102,Polyurethane,Heat Pump,Heat Pump,358019.1
3,26,62306,222,Fiberglass,Boiler,None,786923.09
85,48,20731,149,Cellulose,Heat Pump,Central AC,1462495.16
64,10,3786,231,Spray Foam,Boiler,Heat Pump,94933.67
51,39,25998,340,Spray Foam,Heat Pump,Window Units,413521.33
39,15,12745,212,Spray Foam,Heat Pump,Heat Pump,607455.42
92,21,18973,209,Mineral Wool,Heat Pump,None,297911.86
98,45,18619,131,Polyurethane,Forced Air,Heat Pump,1825338.42
7,28,49599,414,Fiberglass,Boiler,Evaporative,1857900.78
53,8,63379,27,Fiberglass,Heat Pump,Evaporative,2141409.06
54,41,36932,500,Cellulose,Radiant,Heat Pump,2116086.16
41,38,65108,132,Polyurethane,Boiler,Window Units,1873957.07
35,37,83949,405,Cellulose,Heat Pump,Heat Pump,1317108.63
92,29,17843,396,Mineral Wool,Heat Pump,Heat Pump,1534665.37
98,9,11341,182,Spray Foam,Heat Pump,Central AC,1033213.32
21,16,79968,500,Fiberglass,Radiant,Evaporative,626328.48
90,29,90320,367,Cellulose,Boiler,Evaporative,2604536.51
53,37,8537,246,Polyurethane,Heat Pump,Evaporative,461993.32
21,3,50941,446,Spray Foam,Forced Air,Evaporative,774302.14
31,12,90028,22,Polyurethane,Boiler,Heat Pump,1069030.42
59,49,52352,237,Cellulose,Forced Air,Central AC,3049436.74
78,38,4841,239,Polyurethane,Radiant,Evaporative,127723.43
96,11,46844,423,Cellulose,Boiler,Window Units,3425656.59
67,11,26802,447,Fiberglass,Geothermal,Central AC,1765227.38
66,48,29315,242,Cellulose,Heat Pump,Window Units,1581165.5
91,38,35378,467,Cellulose,Heat Pump,Evaporative,1353899.83
91,32,46046,379,Cellulose,Radiant,Central AC,3809133.3
45,5,49376,245,Spray Foam,Geothermal,Heat Pump,2689254.57
59,20,41400,268,Fiberglass,Radiant,Central AC,3084307.46
2,13,58027,97,Mineral Wool,Forced Air,Heat Pump,2364710.62
9,23,20870,499,Fiberglass,Radiant,Window Units,805507.0
42,24,6950,442,Fiberglass,Forced Air,Evaporative,376241.59
35,39,63018,76,Polyurethane,Geothermal,None,3904989.38
58,2,5177,261,Spray Foam,Heat Pump,Central AC,237415.51
43,34,69202,328,Spray Foam,Boiler,None,4491994.58
31,14,22150,151,Polyurethane,Geothermal,None,506212.25
46,36,85557,314,Fiberglass,Radiant,None,3737819.22
22,29,5040,16,Mineral Wool,Forced Air,None,217672.43
86,23,43309,274,Cellulose,Radiant,Window Units,1766688.49
85,42,19897,473,Fiberglass,Boiler,None,690884.3
77,21,43060,63,Cellulose,Boiler,None,2650464.19
87,24,57239,105,Mineral Wool,Heat Pump,Heat Pump,3019915.94
37,6,25434,90,Spray Foam,Heat Pump,Central AC,1530029.53
16,30,84986,296,Spray Foam,Boiler,None,2878261.96
70,5,43207,480,Cellulose,Radiant,None,2432435.62
51,31,31478,130,Cellulose,Heat Pump,Central AC,254326.84
42,1,23494,476,Spray Foam,Boiler,Window Units,870289.05
100,47,83491,434,Polyurethane,Boiler,Heat Pump,1675669.02
12,29,75422,243,Cellulose,Boiler,Evaporative,972557.01
100,26,59458,233,Polyurethane,Boiler,Window Units,3323079.65
47,37,45535,306,Mineral Wool,Forced Air,Heat Pump,1918252.0
89,35,46762,367,Fiberglass,Heat Pump,None,733949.22
53,15,32021,125,Polyurethane,Boiler,Evaporative,1392033.8
94,35,58588,388,Cellulose,Forced Air,Heat Pump,2299121.13
39,25,59679,176,Fiberglass,Radiant,None,591052.38
9,28,74939,115,Spray Foam,Forced Air,Heat Pump,3320272.54
36,36,2176,455,Spray Foam,Forced Air,None,19712.4
48,33,46187,277,Spray Foam,Heat Pump,Heat Pump,2586381.4
13,5,10452,220,Fiberglass,Radiant,Window Units,516348.36
15,21,43053,105,Fiberglass,Heat Pump,Evaporative,1583816.31
22,45,4133,369,Polyurethane,Radiant,Heat Pump,58756.92
32,33,2728,449,Polyurethane,Heat Pump,None,98665.16
81,19,52270,80,Spray Foam,Geothermal,Evaporative,2160710.52
79,7,94628,167,Mineral Wool,Geothermal,None,7653147.04
27,31,8115,216,Spray Foam,Boiler,Evaporative,453688.79
48,10,82243,369,Spray Foam,Forced Air,Central AC,5484169.44
13,38,43176,170,Cellulose,Geothermal,Window Units,1894557.95
16,19,83992,11,Spray Foam,Heat Pump,Evaporative,4484476.86
18,3,49310,271,Mineral Wool,Geothermal,Evaporative,1918088.44
6,2,51734,89,Polyurethane,Boiler,None,1227929.59
12,41,90496,169,Spray Foam,Geothermal,Evaporative,4419006.25
28,43,49102,18,Cellulose,Geothermal,Window Units,1941259.61
93,40,48174,128,Fiberglass,Heat Pump,Window Units,3803022.77
73,34,37054,440,Mineral Wool,Geothermal,Evaporative,1934322.51
12,5,9502,202,Mineral Wool,Forced Air,Heat Pump,489481.6
1,10,93251,86,Spray Foam,Heat Pump,Window Units,2420139.26
54,5,51667,220,Polyurethane,Forced Air,Heat Pump,2865942.12
100,3,21006,375,Cellulose,Geothermal,Window Units,697637.81
27,14,24443,292,Polyurethane,Boiler,Central AC,653764.82
98,21,85269,221,Mineral Wool,Boiler,Evaporative,7979350.17
16,8,82386,33,Fiberglass,Heat Pump,Evaporative,1120935.23
46,47,92264,319,Mineral Wool,Geothermal,Evaporative,4789246.35
40,22,54611,358,Cellulose,Heat Pump,Central AC,1288601.85
8,2,87772,163,Polyurethane,Heat Pump,None,2911935.74
52,34,27842,128,Spray Foam,Forced Air,Heat Pump,1339589.01
53,4,1437,213,Spray Foam,Heat Pump,Window Units,72874.78
